,title,year,runtime,genre,average rating,total votes,region,language,primary_name,birth_year,death_year,primary_profession,category,job,characters,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
49978,Alien Intrusion: Unmasking a Deception,2018,,Documentary,6.8,84,US,,Gary Bates,,,"director,producer,writer",actor,,"[""Author and UFO Researcher""]",,,,,,,,,
49979,Be Free or Be Dead,2017,78,"Documentary,Family",7.6,7,IT,,Pollio Anna,,,"writer,director,cinematographer",actor,,,,,,,,,,,
49985,Forgotten,2017,108,"Mystery,Thriller",7.3,7413,,,Hang-jun Jang,1969,,"director,actor,writer",director,,,,,,,,,,,
49986,"Children Are Not Afraid of Death, Children Are Afraid of Ghosts",2017,85,"Documentary,Drama",6.2,14,CN,,Guangrong Rong,1984,,"director,writer,cinematographer",director,,,,,,,,,,,
49988,Daybreak,2017,85,Drama,7.3,79,GR,,Gentian Koçi,1979,,"director,writer,producer",director,,,,,,,,,,,
49989,Dog Park,2017,91,"Comedy,Romance",6.3,51,US,,Jade Jenise Dixon,,,"actress,director,producer",actress,,"[""Jasmine""]",,,,,,,,,
49990,Carmen & Lola,2018,103,"Drama,Romance",7.2,1308,TR,tr,Arantxa Echevarría,,,"production_manager,director,writer",director,,,,,,,,,,,
49991,Satan's Slaves,2017,107,"Drama,Horror,Mystery",6.7,5409,PL,,Joko Anwar,1976,,"writer,director,actor",director,,,,,,,,,,,
49996,Carnivores,2018,98,"Drama,Thriller",5.2,288,FR,,Jérémie Renier,1981,,"actor,writer,director",director,,,,,,,,,,,
50008,Kholodnoe tango,2017,107,"Drama,History,War",5.4,178,,,Pavel Chukhray,1946,,"director,writer",director,,,,,,,,,,,
50009,Lost & Found,2017,96,"Comedy,Drama",5.4,58,,,Liam O Mochain,1973,,"actor,writer,producer",actor,,"[""Daniel""]",,,,,,,,,
50010,Possessed by Djinn,2015,75,Documentary,7.8,5,DE,,Dalia Al Kury,,,"director,writer,miscellaneous",director,,,,,,,,,,,
50011,Cancer Can Be Killed,2017,95,Documentary,7.9,35,US,,Jeff Witzeman,,,"producer,director,writer",director,,,,,,,,,,,
50012,Sewol: Paused in Time,2017,78,Documentary,6.2,5,XWW,en,Minsu Park,1981,,"cinematographer,director,writer",director,,,,,,,,,,,
50015,Doubtful,2017,88,Drama,7.1,128,HU,,Eliran Elya,,,"director,writer,producer",director,,,,,,,,,,,
50016,Paint Dry,2017,80,Comedy,6.4,18,GB,,Sezar Alkassab,,,"director,writer,producer",actor,,"[""Dylan""]",,,,,,,,,
50017,Let the Child Be the Guide,2017,100,Documentary,7.3,29,PL,,Alexandre Mourot,,,"director,writer,cinematographer",actor,,,,,,,,,,,
50019,Panj 5,2017,75,"Documentary,Drama",8.1,7,IR,fa,S.M. Hosseini,,,"director,writer,producer",director,,,,,,,,,,,
50020,Hotel Jugoslavija,2017,78,"Documentary,History",6.8,58,CH,,Nicolas Wagnières,,,"director,writer,camera_department",actor,,,,,,,,,,,
50021,The UnAmerican Struggle,2017,105,Documentary,4,32,US,,Ric Osuna,,,"director,writer,editor",director,,,,,,,,,,,
50022,Birth of a Family,2017,79,Documentary,7.4,18,CA,,Tasha Hubbard,1973,,"casting_department,director,writer",director,,,,,,,,,,,
50024,Dream State,2018,,Drama,8.5,6,XWW,en,Asger K. Bartels,,,"director,writer,camera_department",director,,,,,,,,,,,
50026,Tarzan's Testicles,2017,105,Documentary,6.8,85,PL,,Alexandru Solomon,1966,,"director,cinematographer,producer",director,,,,,,,,,,,
50027,"Lots of Kids, a Monkey and a Castle",2017,90,Documentary,7.6,892,FI,,Gustavo Salmerón,1970,,"actor,writer,director",director,,,,,,,,,,,
50030,The One,2017,116,Comedy,5.4,143,VN,,Zhengyu Lu,,,"actor,writer,director",actor,,"[""Little Fish""]",,,,,,,,,
50037,The Sower,2017,98,"Drama,Romance",6.4,226,ES,,Marine Francen,,,"assistant_director,writer,location_management",director,,,,,,,,,,,
50043,Like a Cat on a Highway,2017,98,Comedy,6.4,1365,,,Riccardo Milani,1958,,"director,writer,assistant_director",director,,,,,,,,,,,
50047,When the Trees Fall,2018,88,Drama,7.2,395,RU,,Marysia Nikitiuk,,,"writer,director,actor",director,,,,,,,,,,,
50048,Lucia's Grace,2018,110,"Comedy,Drama",6.3,318,PL,,Gianni Zanasi,1965,,"writer,director,actor",director,,,,,,,,,,,
50052,Silent Night,2017,100,"Comedy,Drama",7.2,1225,RU,,Piotr Domalewski,1983,,"actor,writer,director",director,,,,,,,,,,,
50054,Next Gen,2018,106,"Action,Adventure,Animation",6.6,10763,IT,,Kevin R. Adams,,,"animation_department,art_department,director",director,,,,,,,,,,,
50066,Next Gen,2018,106,"Action,Adventure,Animation",6.6,10763,CN,,Joe Ksander,,,"animation_department,visual_effects,writer",director,,,,,,,,,,,
50078,Razing Sera,2017,74,"Action,Horror",1.2,6,US,,Jamie Ball,,,"actor,director,writer",actor,,"[""Cain""]",,,,,,,,,
50082,Sea of Life,2017,88,Documentary,8.1,16,,,Julia Barnes,,,"director,writer,cinematographer",self,,"[""Herself""]",,,,,,,,,
50083,Appiness,2018,,Comedy,8.7,14,CA,,Eli Batalion,,,"writer,actor,producer",actor,,"[""Eric""]",,,,,,,,,
50084,The Guardian,2017,93,"Action,Animation,Fantasy",7.1,581,CN,,Zhigang Yang,,,"director,writer",director,,,,,,,,,,,
50085,Raising Colors,2018,101,Drama,5.8,220,XWW,en,Hélène Fillières,1972,,"actress,writer,director",director,,,,,,,,,,,
50087,Scary Mother,2017,107,Drama,6.9,426,TR,tr,Ana Urushadze,,,"director,writer",director,,,,,,,,,,,
50088,The Cousin,2017,93,Drama,6.9,60,IL,he,Tzahi Grad,1962,,"actor,writer,director",actor,,"[""Naftaly""]",,,,,,,,,
50089,Along with the Gods: The Two Worlds,2017,139,"Action,Drama,Fantasy",7.3,9190,MX,,Yong-hwa Kim,,,"director,writer,producer",director,,,,,,,,,,,
50091,Along with the Gods: The Last 49 Days,2018,142,"Action,Drama,Fantasy",7.1,3364,VN,,Yong-hwa Kim,,,"director,writer,producer",director,,,,,,,,,,,
50093,Meesaya murukku,2017,131,"Biography,Comedy,Drama",7.6,1730,IN,,Hiphop Tamizha Adhi,,,"music_department,soundtrack,composer",actor,,"[""Adhithya (Adhi)""]",,,,,,,,,
50094,BE' JAM BE the Never Ending Song,2017,87,Documentary,7.8,6,FR,,Cyprien Ponson,,,"director,writer,cinematographer",director,,,,,,,,,,,
50098,BE' JAM BE the Never Ending Song,2017,87,Documentary,7.8,6,XWW,en,Caroline Parietti,,,"director,writer,cinematographer",director,,,,,,,,,,,
50102,The Sinking City: Capsule Odyssey,2017,100,Comedy,5.4,115,HK,en,Nero Ng,,,"writer,director",director,,,,,,,,,,,
50106,Disappearance,2017,89,Drama,6.7,296,,,Ali Asgari,,,"writer,director,camera_department",director,,,,,,,,,,,
50108,Meda or The Not So Bright Side of Things,2017,82,Drama,6.6,177,PL,,Emanuel Parvu,1979,,"actor,director,writer",director,,,,,,,,,,,
50109,Il Pugile del Duce,2017,65,"Biography,Documentary",6.2,5,IT,,Tony Saccucci,,,"director,writer",director,,,,,,,,,,,
50110,The Flip Side,2018,90,"Comedy,Romance",5.1,60,,,Marion Pilowsky,,,"producer,director,writer",director,,,,,,,,,,,
50112,Virgins,2018,90,Drama,5.9,100,,,Keren Ben Rafael,1978,,"director,writer,editor",director,,,,,,,,,,,
50114,No Greater Law,2018,90,Documentary,6.6,39,,,Tom Dumican,,,"director,producer,writer",director,,,,,,,,,,,
50116,Fatima the Ultimate Mystery,2017,80,Documentary,6.4,60,PT,,Andrés Garrigó,,,"producer,director,writer",director,,,,,,,,,,,
50119,Super Crazy,2018,94,Comedy,6.3,448,AR,,Martino Zaidelis,,,"producer,director,editor",director,,,,,,,,,,,
50124,Hero and Punishment,2015,103,History,4.2,6,,,Rasha Drachkovitch,,,"producer,miscellaneous,writer",director,,,,,,,,,,,
50132,Hero and Punishment,2015,103,History,4.2,6,RS,,Nebojsa Pajkic,1951,,"writer,actor,director",director,,,,,,,,,,,
50140,Irumbu Thirai,2018,160,"Action,Thriller",7.7,2724,IN,te,P.S. Mithran,,,"director,writer",director,,,,,,,,,,,
50141,Tide,2017,73,"Drama,Horror,Thriller",8,13,US,,Ahab Mullick,,,"producer,cinematographer,director",actor,,"[""Martin""]",,,,,,,,,
50145,"1984, When the Sun Didn't Rise",2017,,Documentary,7.2,6,IN,,Teenaa Kaur,,,"director,writer,producer",director,,,,,,,,,,,
50146,The Ancestral Sin,2017,109,"Documentary,History",7.3,21,XWW,en,David Deri,1975,,"director,writer,producer",director,,,,,,,,,,,
50149,Demi soeurs,2018,100,Comedy,5.6,300,HU,,François-Régis Jeanne,,,"director,writer,cinematographer",director,,,,,,,,,,,
50155,Drift,2017,98,Drama,5.4,155,,,Helena Wittmann,1982,,"cinematographer,director,writer",director,,,,,,,,,,,
50157,Tiere und andere Menschen,2017,,Documentary,8.9,8,AT,,Flavio Marchetti,,,"production_manager,producer,director",director,,,,,,,,,,,
50159,Tears in the Bayou,2017,106,Documentary,8.8,6,US,,Rico King,,,"actor,director,cinematographer",director,,,,,,,,,,,
50160,MILF,2018,96,Comedy,4.5,276,UA,,Axelle Laffont,1970,,"actress,writer,director",actress,,"[""Elise""]",,,,,,,,,
50168,Illuminati 2: The Battle in Space,2013,127,Sci-Fi,2.1,18,HU,,Desire Dubounet,,,"producer,director,writer",self,,"[""Herself""]",,,,,,,,,
50169,Ghetto Uprising - The Untold Story,2017,61,"Animation,Documentary,Drama",8.4,16,IL,en,Yuval Haimovich-Zuser,,,"director,writer,editor",director,,,,,,,,,,,
50173,Ghetto Uprising - The Untold Story,2017,61,"Animation,Documentary,Drama",8.4,16,,,Simon Shechter,,,"director,writer,cinematographer",director,co-director,,,,,,,,,,
50177,Buon inverno,2017,91,Documentary,6.8,70,,,Giovanni Totaro,,,"director,writer",director,,,,,,,,,,,
50178,"Us, Forever Ago",2017,70,Drama,8.9,10,US,,Irina Varina,,,"actress,producer,director",actress,,"[""Woman""]",,,,,,,,,
50179,Red Trees,2017,87,Documentary,6.1,105,GB,,Marina Willer,,,"director,writer,art_director",director,,,,,,,,,,,
50182,Reinos,2017,81,Drama,5.3,47,AU,,Pelayo Lira,,,"assistant_director,director,writer",director,,,,,,,,,,,
50184,Laugh or Die,2018,103,"Drama,History,War",6.7,431,FI,,Heikki Kujanpää,1961,,"actor,director,writer",director,,,,,,,,,,,
50186,Heavy Trip,2018,92,"Comedy,Music",7.1,3632,FI,,Juuso Laatio,,,"art_department,writer,director",director,,,,,,,,,,,
50194,Heavy Trip,2018,92,"Comedy,Music",7.1,3632,SE,,Jukka Vidgren,,,"director,producer,writer",director,,,,,,,,,,,
50202,Baltu Ciltis,2018,103,"Documentary,Drama,History",7.5,164,LV,,Raitis Abele,,,"director,writer,editor",director,,,,,,,,,,,
50208,President; Actor of Cinema,2017,75,"Documentary,History",8.5,40,IR,,Mohammadreza Booruni,,,"director,writer",director,,,,,,,,,,,
50210,Her War: Women Vs. ISIS,2015,53,Documentary,8.5,11,RU,,Anastasia Trofimova,,,"director,cinematographer,producer",director,,,,,,,,,,,
50211,"Congo, My Precious",2017,52,Documentary,7.4,5,RU,,Anastasia Trofimova,,,"director,cinematographer,producer",director,,,,,,,,,,,
50212,Oblivion Verses,2017,92,Drama,6.6,327,DE,,Alireza Khatami,,,"director,writer,producer",director,,,,,,,,,,,
50213,Eastern Memories,2018,86,Documentary,7.3,40,XWW,en,Niklas Kullström,,,"cinematographer,producer,editor",director,,,,,,,,,,,
50219,Eastern Memories,2018,86,Documentary,7.3,40,FI,sv,Martti Kaartinen,,,"actor,writer,director",director,,,,,,,,,,,
50225,No obvious signs,2018,64,"Documentary,Drama",8.2,16,,,Alina Gorlova,,,"director,editor,writer",director,,,,,,,,,,,
50226,A Window to Rosália,2017,87,Drama,6.5,116,BR,,Caroline Leone,,,"editor,director,writer",director,,,,,,,,,,,
50227,Dead Grid,2017,105,"Action,Sci-Fi",7.3,6,US,,Jamie Farnsworth,,,"director,actor,writer",actor,,"[""Vincent Meyers""]",,,,,,,,,
50233,I Want to Eat Your Pancreas,2018,108,"Animation,Drama,Romance",7.7,1239,IT,,Shin'ichirô Ushijima,,,"director,art_department",director,,,,,,,,,,,
50236,Walter Pfeiffer: Chasing Beauty,2017,89,"Biography,Documentary",6.8,5,CH,,Iwan P. Schumacher,1947,,"director,writer,cinematographer",director,,,,,,,,,,,
50237,The Sower,2018,86,Documentary,7.6,8,XWW,,Melissa Elizondo Moreno,,,"director,writer,producer",director,,,,,,,,,,,
50238,Complicity,2018,116,Drama,7.3,28,,,Kei Chikaura,,,"writer,producer,director",director,,,,,,,,,,,
50239,The Poetess,2017,49,Documentary,7.3,60,,,Stefanie Brockhaus,1977,,"director,writer,cinematographer",director,,,,,,,,,,,
50243,Elish's Notebooks,2017,74,Documentary,6.7,9,XWW,en,Golan Rise,,,"director,writer,cinematographer",director,,,,,,,,,,,
50244,Children of Chance,2017,98,Documentary,7.3,12,BE,fr,Pascal Colson,,,"director,cinematographer,writer",director,co-director,,,,,,,,,,
50250,The Swindlers,2017,117,"Action,Crime",6.4,1040,KR,,Chang Won Jang,,,"director,assistant_director",director,,,,,,,,,,,
50251,En tránsito,2017,65,Documentary,8.7,18,CL,,Constanza Gallardo,,,"director,writer,editor",director,,,,,,,,,,,
50253,Herbie Races Again,2017,45,Family,6.3,14,IE,,Cian Gray,,,"director,actor,writer",actor,,"[""CGrayzer""]",,,,,,,,,
50254,Tarinoiden Suomi,2017,84,Documentary,7.1,15,FI,,Jussi Oroza,,,"cinematographer,producer,director",director,,,,,,,,,,,
50255,A Dying King: The Shah of Iran,2017,85,Documentary,8,21,US,,Bobak Kalhor,,,"director,writer,producer",director,,,,,,,,,,,
50256,Ava,2017,102,Drama,6.8,192,IR,,Sadaf Foroughi,1976,,"writer,producer,director",director,,,,,,,,,,,
50257,Maleika,2017,105,Family,6.9,36,NO,,Matto Barfuss,1970,,"director,writer,cinematographer",self,,"[""Himself""]",,,,,,,,,
50259,Don't Cry for Me England,2018,103,"Comedy,History,Sport",6.6,43,AR,,Néstor Montalbano,1961,,"director,writer,miscellaneous",director,,,,,,,,,,,
50261,Guess Again,2017,48,"Action,Comedy,Crime",7.2,9,US,,Eman Rahman,1997,,"director,actor,writer",actor,,"[""Blaine"",""Juan""]",,,,,,,,,
50263,"Enticing, Sugary, Boundless or Songs and Dances about Death",2017,96,Documentary,8,9,,,Tania Khodakivska,,,"editor,assistant_director,director",director,,,,,,,,,,,
50265,Mushino,2017,80,"Adventure,Sci-Fi",5.1,28,US,,Raphael Cosme,,,"director,writer,cinematographer",director,,,,,,,,,,,
50267,Inkotanyi,2017,126,Documentary,8.4,9,BE,,Christophe Cotteret,,,"director,writer",director,,,,,,,,,,,
50268,The Trolley,2018,46,Documentary,8,6,,,Stephen Low,1951,,"director,writer,producer",director,,,,,,,,,,,
50269,Burning,2018,148,"Drama,Mystery",7.6,22671,DK,,Chang-dong Lee,1954,,"writer,producer,director",director,,,,,,,,,,,
50272,The Times of Bill,2018,,Documentary,6.8,6,,,Mark Bozek,,,"producer,director,writer",director,,,,,,,,,,,
50273,Samson,2014,72,,5.5,6,US,,Jeffrey Scallon,,,"actor,director,writer",actor,,"[""Samson"",""Uncle Jeffrey""]",,,,,,,,,
50275,The Liquidator,2017,124,Crime,5.5,220,,,Xu Jizhou,,,"director,writer,producer",director,,,,,,,,,,,
50277,For Your Convenience,2017,77,Crime,7.7,12,US,,Joey Celia,,,"writer,director,actor",actor,,"[""Jason""]",,,,,,,,,
50281,"Sans bruit, les figurants du désert",2017,64,Documentary,7.2,6,FR,,Gilles Lepore,,,"director,editor,writer",director,,,,,,,,,,,
50290,The Wild Frontier,2017,219,Documentary,6.6,50,BR,,Elisabeth Perceval,,,"writer,actress,producer",director,,,,,,,,,,,
50294,Los Corroboradores,2017,70,,7.2,26,AR,,Luis Bernardez,1975,,"assistant_director,miscellaneous,producer",director,,,,,,,,,,,
50296,Too Much Info Clouding Over My Head,2017,106,"Comedy,Drama",7.6,98,GR,,Vasilis Christofilakis,,,"director,actor,writer",actor,,"[""Billy David"",""Vasilis""]",,,,,,,,,
50297,The Wedding,2018,75,"Drama,Romance",6.1,59,,,Sam Abbas,1993,,"actor,writer,producer",actor,,"[""Rami""]",,,,,,,,,
50298,"China, the Empire of Time",2017,104,"Documentary,Drama",6.2,5,XWW,en,Cédric Condom,,,"director,producer,writer",director,,,,,,,,,,,
50301,UFOs and Nukes: The Secret Link Revealed,2016,48,Documentary,7.3,16,US,,Robert Hastings,,,"director,writer",director,,,,,,,,,,,
50302,Cuba and the Cameraman,2017,113,Documentary,8.2,1842,PL,,Jon Alpert,,,"producer,director,cinematographer",director,,,,,,,,,,,
50303,Guerrero,2017,65,Documentary,7,5,CL,,Sebastián Moreno,,,"cinematographer,director,writer",director,,,,,,,,,,,
50305,A Mother Brings Her Son to Be Shot,2017,84,Documentary,7.2,62,HU,,Sinéad O'Shea,,,"producer,director,writer",director,,,,,,,,,,,
50306,Hagazussa,2017,102,"Drama,Horror",5.9,1470,,,Lukas Feigelfeld,1986,,"director,writer,editor",director,,,,,,,,,,,
50307,Iran's Arrow: The Rise and Fall of Paykan,2017,78,"Documentary,History",7.8,6,IR,,Shahin Armin,,,"director,writer,editor",director,,,,,,,,,,,
50311,Holiday,2018,93,"Crime,Drama",5.8,1626,PL,,Isabella Eklöf,,,"writer,director,actress",director,,,,,,,,,,,
50313,Pari,2018,136,"Fantasy,Horror,Mystery",6.6,4481,IN,,Prosit Roy,,,"assistant_director,writer,director",director,,,,,,,,,,,
50317,Luz en el encierro,2013,88,Documentary,8.7,6,MX,,Rodrigo Occelli,,,"director,writer,producer",director,,,,,,,,,,,
50318,Buñuel in the Labyrinth of the Turtles,2018,80,"Animation,Drama",7.4,161,DE,,Salvador Simó,,,"animation_department,director,visual_effects",director,,,,,,,,,,,
50320,The Blessed,2017,102,Drama,5.2,161,,,Sofia Djama,1979,,"director,writer",director,,,,,,,,,,,
50321,Maquia: When the Promised Flower Blooms,2018,115,"Adventure,Animation,Drama",7.4,1973,JP,,Mari Okada,,,"writer,miscellaneous,soundtrack",director,,,,,,,,,,,
50323,The Distant Barking of Dogs,2017,91,"Documentary,War",7.8,301,XWW,en,Simon Lereng Wilmont,,,"director,cinematographer,writer",director,,,,,,,,,,,
50324,The Running Actress,2017,71,"Comedy,Drama",6,89,XWW,en,So-Ri Moon,1974,,"actress,director,writer",actress,,,,,,,,,,,
50325,Break,2018,96,Comedy,6,223,VN,,Marc Fouchard,,,"writer,director",director,,,,,,,,,,,
50331,Good Boys,2019,89,Comedy,6.5,248,XWW,en,Gene Stupnitsky,1977,,"producer,writer,miscellaneous",director,,,,,,,,,,,
50333,Mission China,2017,97,Action,7.5,278,IN,,Zubeen Garg,1972,,"music_department,soundtrack,composer",actor,,"[""Colonel Goswami""]",,,,,,,,,
50334,Germania,2018,77,Documentary,7.9,31,DE,,Lion Bischof,,,"director,writer,producer",director,,,,,,,,,,,
50335,BlacKkKlansman,2018,135,"Biography,Crime,Drama",7.5,149005,ES,,Spike Lee,1957,,"director,producer,writer",director,,,,,,,,,,,
50340,Is That You?,2018,107,Horror,6.2,23,,,Rudy Riverón Sánchez,,,"director,camera_department,writer",director,,,,,,,,,,,
50341,Avicii: True Stories,2017,97,Documentary,7.6,5455,,,Levan Tsikurishvili,,,"director,writer,producer",director,,,,,,,,,,,
50342,Yun Shui,2018,,Drama,6.4,24,XWW,en,Zeng Zeng,1987,,"director,writer",director,,,,,,,,,,,
50344,Conventional Sins,2017,70,Documentary,7.2,10,,,Shira Clara Winter,,,"director,writer,editor",director,,,,,,,,,,,
50348,690 Vopnafjordur,2017,57,Documentary,6.4,7,IS,,Karna Sigurdardottir,,,"director,writer,producer",director,,,,,,,,,,,
50350,Checkered Ninja,2018,81,"Adventure,Animation,Comedy",7.8,1728,,,Anders Matthesen,1975,,"actor,writer,soundtrack",actor,,,,,,,,,,,
50352,Construindo Pontes,2017,,Documentary,6,25,UY,,Heloísa Passos,,,"cinematographer,camera_department,director",director,,,,,,,,,,,
50355,UnExpected Reasons,2018,,"Drama,Thriller",7.9,8,US,,Sean Pignatelli,1988,,"actor,art_department,producer",actor,,"[""John Roberts""]",,,,,,,,,
50356,The Sandman,2017,90,Horror,4.6,1095,TR,tr,Peter Sullivan,1976,,"producer,writer,director",director,,,,,,,,,,,
50357,After the Apology,2017,81,Documentary,7.9,10,AU,,Larissa Behrendt,,,"miscellaneous,director,writer",director,,,,,,,,,,,
50358,From Core to Sun,2018,90,Documentary,9.5,74,,,Oliver Lee Garland,,,"director,writer,casting_department",director,,,,,,,,,,,
50360,The Hemp Road Trip,2018,55,Documentary,8.9,8,AU,,D.J. Nicke,,,"visual_effects,sound_department,director",actor,,,,,,,,,,,
50362,The Things We Keep,2018,73,Documentary,9.6,5,,,Casey Kauffman,,,"director,writer",director,co-director,,,,,,,,,,
50366,Vienne avant la nuit,2017,80,Documentary,6.5,13,,,Robert Bober,1931,,"director,assistant_director,writer",director,,,,,,,,,,,
50367,Nos parecía importante,2016,60,"Comedy,Drama",5.8,8,ES,,Marc Ferrer,,,"actor,director,writer",actor,,"[""Marcos""]",,,,,,,,,
50368,In My Mind,2017,78,Documentary,8.2,12,GB,,Chris Rodley,,,"director,producer,writer",self,,"[""Himself - Narrator""]",,,,,,,,,
50369,Mamacita,2018,75,Documentary,8.1,35,DE,,José Pablo Estrada Torrescano,,,"director,actor,writer",self,,"[""Himself""]",,,,,,,,,
50370,Tak sebe zima,2018,84,"Drama,Thriller",6.8,11,KZ,,Olga Korotko,1988,,"director,producer,writer",director,,,,,,,,,,,
50371,Sunshine that Can Move Mountains,2017,109,"Drama,Family,Romance",7.8,12,CN,,Qiang Wang,,,"director,writer",director,,,,,,,,,,,
50372,Something Crashed in the Woods,2019,74,"Horror,Sci-Fi",2.1,9,US,,Jeff Profitt,,,"producer,director,actor",actor,,"[""Guy""]",,,,,,,,,
50373,Those Who Work,2018,102,Drama,7.2,71,DE,,Antoine Russbach,,,"writer,director,assistant_director",director,,,,,,,,,,,
50375,Qarib Qarib Singlle,2017,125,"Comedy,Romance",7,4347,US,,Tanuja Chandra,,,"director,writer,actress",director,,,,,,,,,,,
50378,High and Dry,2018,60,"Adventure,Comedy",5,6,US,,Andrew Andrade,,,"director,writer,camera_department",director,,,,,,,,,,,
50379,Days of Madness,2018,73,Documentary,7.1,19,HR,,Damian Nenadic,,,"cinematographer,director,writer",director,,,,,,,,,,,
50380,Orchard Beach,2019,,"Comedy,Horror",7.5,6,US,,T.S.,1975,,"actor,producer,writer",actor,,"[""Tony""]",,,,,,,,,
50382,7 Reasons to Run Away (from Society),2019,75,Comedy,7.3,63,,,Esteve Soler,1976,,"writer,director",director,,,,,,,,,,,
50385,Los Hermanos Karaoke,2017,77,Comedy,6.1,7,AR,,Bernardo Francese,,,"director,actor,writer",actor,,"[""Empresario""]",,,,,,,,,
50394,Das versunkene Dorf,2018,82,Documentary,8,6,IT,,Georg Lembergh,,,"director,writer",director,,,,,,,,,,,
50397,Tower. A Bright Day.,2017,106,"Drama,Horror,Mystery",6.4,337,,,Jagoda Szelc,1984,,"director,writer,editor",director,,,,,,,,,,,
50398,"When the Smoke Clears: A Story of Brotherhood, Resilience and Hope",2017,81,Documentary,8.2,6,IL,,Rebecca Shore,,,"writer,director,producer",director,,,,,,,,,,,
50402,Star Wars: Rise of the First Order,2017,87,"Action,Drama",5.4,7,US,,Christian Nichols,,,"actor,director,writer",actor,,"[""CN-2187"",""Tarkin""]",,,,,,,,,
50403,The Ark of Lights and Shadows,2018,90,"Adventure,Biography,Documentary",8.2,5,CZ,,Jan Svatos,,,"director,writer",director,,,,,,,,,,,
50404,Teen Titans Go! To the Movies,2018,84,"Action,Animation,Comedy",6.8,12525,,,Aaron Horvath,1980,,"writer,producer,animation_department",director,,,,,,,,,,,
50424,Denmark,2017,90,Drama,6.2,139,XWW,en,Kasper Rune Larsen,,,"director,writer,casting_department",director,,,,,,,,,,,
50427,A la conquête de Titan,2017,90,Documentary,7.9,9,GR,,Frédéric Ramade,,,"director,writer,editorial_department",director,,,,,,,,,,,
50429,No Friends but the Mountains,2017,87,Documentary,6,21,GB,,Kae Bahar,,,"actor,director,writer",director,,,,,,,,,,,
50433,The Last Laugh,2019,98,Comedy,5.6,3548,XWW,en,Greg Pritikin,,,"director,writer,editor",director,,,,,,,,,,,
50434,Never Say Die,2017,100,"Comedy,Fantasy,Sport",6.2,940,RU,,Yang Song,,,"director,actor,writer",director,,,,,,,,,,,
50438,The Invisible Man,2018,,"Horror,Thriller",3.6,13,US,,Rocky Burnswork,1980,,"writer,actor,director",director,,,,,,,,,,,
50440,Like.Share.Follow.,2017,97,"Horror,Thriller",5.1,1307,US,,Glenn Gers,,,"miscellaneous,writer,director",director,,,,,,,,,,,
50441,Once in the Night,2018,73,"Animation,Biography,Documentary",6.6,14,CL,,Antonia Rossi,,,"director,writer,editor",director,,,,,,,,,,,
50445,The New Romantic,2018,82,"Comedy,Drama,Romance",5.8,1055,CA,fr,Carly Stone,,,"writer,director",director,,,,,,,,,,,
50447,The Wolf's Call,2019,115,"Action,Drama",7.6,1220,,,Abel Lanzac,,,"writer,director",director,,,,,,,,,,,
50448,Who is Barbara Virginia?,2017,77,"Biography,Documentary",6.4,10,PT,,Luísa Sequeira,,,"director,producer,cinematographer",actress,,,,,,,,,,,
50450,Impreza,2017,76,Documentary,7.1,22,DE,,Alexandra Wesolowski,1985,,"writer,director,assistant_director",director,,,,,,,,,,,
50451,Thalatta,2017,50,Documentary,9.4,16,GR,,Triantafyllia Dimopoulou,,,"director,writer,casting_director",director,,,,,,,,,,,
50454,The Outlaws,2017,121,"Action,Crime",7.1,2383,RU,,Yoon-Seong Kang,,,director,director,,,,,,,,,,,
50455,Landet af glas,2018,86,"Family,Fantasy",6.3,55,NL,,Jeppe Vig Find,1980,,"writer,director,producer",director,,,,,,,,,,,
50459,The House Next Door,2017,137,Horror,6.8,1576,,,Milind Rau,,,"assistant_director,director,producer",director,,,,,,,,,,,
50463,The Invented Biography,2018,95,Biography,8,5,XSA,es,Nicolas Lasnibat,1975,,"writer,director,assistant_director",director,,,,,,,,,,,
50464,Shirkers,2018,97,Documentary,7.4,2928,US,,Sandi Tan,1972,,"director,writer,producer",self,,"[""Herself""]",,,,,,,,,
50465,Jeune bergère,2018,91,Documentary,6.5,6,FR,,Delphine Détrie,,,"director,writer",director,,,,,,,,,,,
50466,Sink or Swim,2018,122,"Comedy,Drama,Sport",7,4163,CA,fr,Gilles Lellouche,1972,,"actor,director,writer",director,,,,,,,,,,,
50469,Borderline,2019,145,"Biography,Drama,Romance",6.7,9,GB,,Anna Alfieri,,,"actress,director,writer",actress,,"[""Anna Alfieri""]",,,,,,,,,
50470,Love Education,2017,120,"Drama,Music",7.3,755,DE,,Sylvia Chang,1953,,"actress,writer,director",actress,,"[""Qiu Huiying""]",,,,,,,,,
50472,Yanka y el espíritu del volcán,2018,,"Adventure,Drama,Family",6.1,13,AR,,Ivan Abello,,,"director,actor,writer",actor,,"[""Hombre Casamiento""]",,,,,,,,,
50475,Cielo,2017,78,Documentary,7.1,81,,,Alison McAlpine,,,"director,writer,producer",director,,,,,,,,,,,
50476,Birds without Feathers,2018,85,"Comedy,Drama,Fantasy",7.6,35,US,,Wendy McColm,1987,,"actress,director,writer",actress,,"[""Neil""]",,,,,,,,,
50478,Black Is Black,2017,80,"Biography,Documentary,History",5,6,ES,,Alejandro López Riesgo,1987,,"production_manager,producer,location_management",director,,,,,,,,,,,
